Artikelnummer,Produktname,Beschreibung,Warengruppe,Hersteller,Lagerbestand,Mindestmeldebestand,Verkaufspreis (VK),Rabatt,UVP,Größe,Farbe,Tag für Crossselling,Verfügbarkeit,last_updated,Quelle
OUTD-0011,Isomatten L – Orange,"Hochwertiger isomatten in der Größe L und Farbe Orange, ideal für Outdoor-Abenteuer.",Isomatten,The North Face,12,12,220.03,10,255.59,L,Orange,ergänzt_bekleidung,Nicht auf Lager,2025-08-05,PIM2
OUTD-0016,Zelte 60L – Grau,"Hochwertiger zelte in der Größe 60L und Farbe Grau, ideal für Outdoor-Abenteuer.",Zelte,Vaude,91,11,156.29,15,183.87,60L,Grau,ideal_für_zelt,2–3 Werktage,2025-08-05,PIM2
OUTD-0021,Rucksäcke S – Grau,"Hochwertiger rucksäcke in der Größe S und Farbe Grau, ideal für Outdoor-Abenteuer.",,Columbia,37,19,49.22,20,61.52,S,Grau,ergänzt_bekleidung,Nicht auf Lager,2025-08-05,PIM2
OUTD-0026,Trekkingstöcke M – Blau,"Hochwertiger trekkingstöcke in der Größe M und Farbe Blau, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Jack Wolfskin,3,19,160.0,5,180.59,M,Blau,passend_zu_rucksack,Vorbestellung,2025-08-05,PIM2
OUTD-0027,Zelte M – Schwarz,"Hochwertiger zelte in der Größe M und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Zelte,The North Face,22,17,112.64,5,118.57,M,Schwarz,ideal_für_zelt,Sofort lieferbar,2025-08-05,PIM2
OUTD-0041,Rucksäcke L – Grün,"Hochwertiger rucksäcke in der Größe L und Farbe Grün, ideal für Outdoor-Abenteuer.",,Vaude,86,15,192.92,20,241.15,L,Grün,passend_zu_rucksack,2–3 Werktage,2025-08-05,PIM2
OUTD-0047,Rucksäcke S – Oliv,"Hochwertiger rucksäcke in der Größe S und Farbe Oliv, ideal für Outdoor-Abenteuer.",Rucksäcke,Deuter,27,19,226.36,0,226.36,S,Oliv,ideal_für_zelt,Sofort lieferbar,2025-08-05,PIM2
OUTD-0054,Zelte M – Grün,"Hochwertiger zelte in der Größe M und Farbe Grün, ideal für Outdoor-Abenteuer.",,Vaude,120,6,79.92,20,99.9,M,Grün,ideal_für_zelt,Sofort lieferbar,2025-08-05,PIM2
OUTD-0063,Trekkingstöcke XL – Grau,"Hochwertiger trekkingstöcke in der Größe XL und Farbe Grau, ideal für Outdoor-Abenteuer.",,Mammut,128,14,204.93,15,241.09,XL,Grau,ideal_für_zelt,2–3 Werktage,2025-08-05,PIM2
OUTD-0073,Outdoor-Bekleidung XL – Schwarz,"Hochwertiger outdoor-bekleidung in der Größe XL und Farbe Schwarz, ideal für Outdoor-Abenteuer.",,Mammut,7,10,59.88,10,66.53,XL,Schwarz,für_wanderschuhe,Sofort lieferbar,2025-08-05,PIM2
OUTD-0114,Wanderschuhe XL – Oliv,"Hochwertiger wanderschuhe in der Größe XL und Farbe Oliv, ideal für Outdoor-Abenteuer.",Wanderschuhe,The North Face,144,20,61.54,20,76.93,XL,Oliv,ideal_für_zelt,Sofort lieferbar,2025-08-03,PIM2
OUTD-0123,Rucksäcke 2-Personen – Blau,"Hochwertiger rucksäcke in der Größe 2-Personen und Farbe Blau, ideal für Outdoor-Abenteuer.",Rucksäcke,Columbia,115,12,78.47,10,87.19,2-Personen,Blau,für_wanderschuhe,Sofort lieferbar,2025-08-05,PIM2
