Artikelnummer,Produktname,Beschreibung,Warengruppe,Hersteller,Lagerbestand,Mindestmeldebestand,Verkaufspreis (VK),Rabatt,UVP,Größe,Farbe,Tag für Crossselling,Verfügbarkeit,last_updated
OUTD-0001,Outdoor-Bekleidung XL – Grün,"Hochwertiger outdoor-bekleidung in der Größe XL und Farbe Grün, ideal für Outdoor-Abenteuer.",Outdoor-Bekleidung,Jack Wolfskin,150,15,222.13,20,277.66,XL,Grün,ideal_für_zelt,Sofort lieferbar,2025-08-05
OUTD-0002,Trekkingstöcke M – Schwarz,"Hochwertiger trekkingstöcke in der Größe M und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Mammut,82,19,126.22,20,157.77,M,Schwarz,ideal_für_zelt,Nicht auf Lager,2025-08-05
OUTD-0003,Isomatten 2-Personen – Rot,"Hochwertiger isomatten in der Größe 2-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Isomatten,Jack Wolfskin,118,18,91.86,5,96.7,2-Personen,Rot,ergänzt_bekleidung,Nicht auf Lager,2025-08-05
OUTD-0004,Trekkingstöcke 60L – Grau,"Hochwertiger trekkingstöcke in der Größe 60L und Farbe Grau, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Mammut,53,17,166.41,5,175.17,60L,Grau,passend_zu_rucksack,Vorbestellung,2025-08-05
OUTD-0005,Trekkingstöcke 3-Personen – Rot,"Hochwertiger trekkingstöcke in der Größe 3-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Columbia,66,7,180.04,15,211.81,3-Personen,Rot,passend_zu_rucksack,Vorbestellung,2025-08-05
OUTD-0006,Zelte XL – Oliv,"Hochwertiger zelte in der Größe XL und Farbe Oliv, ideal für Outdoor-Abenteuer.",Zelte,Jack Wolfskin,109,8,221.65,15,260.76,XL,Oliv,ergänzt_bekleidung,Nicht auf Lager,2025-08-05
OUTD-0007,Zelte 60L – Grau,"Hochwertiger zelte in der Größe 60L und Farbe Grau, ideal für Outdoor-Abenteuer.",Zelte,Mammut,48,17,214.8,0,214.8,60L,Grau,kombinierbar_mit_schlafsack,2–3 Werktage,2025-08-05
OUTD-0008,Trekkingstöcke 60L – Schwarz,"Hochwertiger trekkingstöcke in der Größe 60L und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Deuter,147,10,85.54,20,106.93,60L,Schwarz,für_wanderschuhe,Nicht auf Lager,2025-08-05
OUTD-0009,Trekkingstöcke S – Blau,"Hochwertiger trekkingstöcke in der Größe S und Farbe Blau, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Mammut,88,15,146.59,5,154.3,S,Blau,für_wanderschuhe,Sofort lieferbar,2025-08-05
OUTD-0010,Zelte 2-Personen – Rot,"Hochwertiger zelte in der Größe 2-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Zelte,Columbia,3,7,92.19,5,97.04,2-Personen,Rot,kombinierbar_mit_schlafsack,Vorbestellung,2025-08-05
OUTD-0011,Isomatten L – Orange,"Hochwertiger isomatten in der Größe L und Farbe Orange, ideal für Outdoor-Abenteuer.",Isomatten,The North Face,12,12,220.03,10,255.59,L,Orange,ergänzt_bekleidung,Nicht auf Lager,2025-08-05
